property_id,address,street_name,city,rstate,latitude,longitude,postcode,price,zestimate,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,property_type,property_status,agency_name,zillow_owned,RunDate
125685161,"660 New Vittitow Ln, Boston, KY 40107",New Vittitow Ln,Boston,KY,37.80391,-85.6409,40107,549999,540800,4,3,107,5096,5.9,SINGLE_FAMILY,FOR_SALE,Semonin REALTORS,0,3/13/2022 7:34
226646254,"3567 Nelsonville Rd, Boston, KY 40107",Nelsonville Rd,Boston,KY,37.734215,-85.66694,40107,40000,,,,,,7.24,LOT,PENDING,"Area One Realty, LLC",0,3/13/2022 7:34
115423090,"2915 Nat Rogers Rd, Boston, KY 40107",Nat Rogers Rd,Boston,KY,37.731632,-85.573524,40107,285000,279100,3,2,161,1769,3.39,SINGLE_FAMILY,PENDING,"RE/MAX Executive Group, Inc.",0,3/13/2022 7:34
120265496,"4895 Nat Rogers Rd, Boston, KY 40107",Nat Rogers Rd,Boston,KY,37.736572,-85.6048,40107,200000,199700,3,2,129,1549,10.26,SINGLE_FAMILY,FOR_SALE,Lanny Baker Realty LLC,0,3/13/2022 7:34
115425058,"244 Lebanon Junction Rd, Boston, KY 40107",Lebanon Junction Rd,Boston,KY,37.79141,-85.673615,40107,147000,146900,3,2,75,1946,0.48,SINGLE_FAMILY,FOR_SALE,Nalley Company REALTORS,0,3/13/2022 7:34
306783242,"85 Post Office Ct, Boston, KY 40107",Post Office Ct,Boston,KY,37.787624,-85.67197,40107,168000,168000,1,2,42,4000,0.25,SINGLE_FAMILY,FOR_SALE,Campisano REALTORS,0,3/13/2022 7:34
221631380,"3375 Five Forks Rd, Boston, GA 31626",Five Forks Rd,Boston,GA,30.843014,-83.80288,31626,575000,,3,3,260,2209,41.98,SINGLE_FAMILY,PENDING,,0,3/13/2022 7:34
92453676,"6415 Twelve Mile Post Rd, Boston, GA 31626",Twelve Mile Post Rd,Boston,GA,30.692013,-83.847595,31626,234900,234901,4,2,111,2104,2,SINGLE_FAMILY,FOR_SALE,,0,3/13/2022 7:34
2066407322,"556 S Stephens St, Boston, GA 31626",S Stephens St,Boston,GA,30.784185,-83.7898,31626,265000,,2,3,110,2391,2.21,SINGLE_FAMILY,FOR_SALE,,0,3/13/2022 7:34
2066780133,"0 Bn E Jackson St, Boston, GA 31626",Bn E Jackson St,Boston,GA,30.788643,-83.78861,31626,20000,,,0,,,0.36,LOT,FOR_SALE,,0,3/13/2022 7:34
2066780144,"0 Bn S Main St, Boston, GA 31626",Bn S Main St,Boston,GA,30.791775,-83.78986,31626,20000,,,0,,,0.37,LOT,FOR_SALE,,0,3/13/2022 7:34
2083772968,"626 E Jefferson St, Boston, GA 31626",E Jefferson St,Boston,GA,30.790056,-83.780205,31626,369900,222300,3,2,225,1639,7.39,SINGLE_FAMILY,PENDING,,0,3/13/2022 7:34
2068015018,"Sally Rd, Boston, GA 31626",Sally Rd,Boston,GA,30.810308,-83.84346,31626,99000,,,0,,,2.42,LOT,PENDING,,0,3/13/2022 7:34
92452607,"927 Sally Rd, Boston, GA 31626",Sally Rd,Boston,GA,30.810036,-83.83815,31626,795000,784169,6,6,142,5564,3.7,SINGLE_FAMILY,FOR_SALE,,0,3/13/2022 7:34
92457723,"6558 Whitney Camp Rd, Boston, GA 31626",Whitney Camp Rd,Boston,GA,30.768942,-83.783615,31626,270000,269099,3,3,141,1904,2.26,SINGLE_FAMILY,FOR_SALE,,0,3/13/2022 7:34
2078368222,"0 State Line Rd, Boston, GA 31626",State Line Rd,Boston,GA,30.668695,-83.861206,31626,24900,,,0,,,2,LOT,FOR_SALE,,0,3/13/2022 7:34
221646319,"632 Martin Rd, Boston, GA 31626",Martin Rd,Boston,GA,30.748764,-83.77337,31626,49900,48100,,0,63,792,8.01,LOT,PENDING,,0,3/13/2022 7:34
97480108,"108 Paces Ln, Boston, GA 31626",Paces Ln,Boston,GA,30.869747,-83.80259,31626,21500,,,0,,,0.93,LOT,FOR_SALE,,0,3/13/2022 7:34
97466089,"106 Paces Ln, Boston, GA 31626",Paces Ln,Boston,GA,30.870005,-83.80293,31626,21500,,,0,,,0.93,LOT,FOR_SALE,,0,3/13/2022 7:34
97462320,"115 Paces Ln, Boston, GA 31626",Paces Ln,Boston,GA,30.870169,-83.80164,31626,18500,,,0,,,0.51,LOT,FOR_SALE,,0,3/13/2022 7:34
2065684286,"0 Brinkley Sperryville, Boston, VA 22713",Brinkley Sperryville,Boston,VA,,,22713,74900,,,,,,6.05,LOT,FOR_SALE,Piedmont Fine Properties,0,3/13/2022 7:34
223446413,"7422 Chads Way, Boston, VA 22713",Chads Way,Boston,VA,38.513218,-78.10298,22713,799000,799000,5,3,308,2586,3.47,SINGLE_FAMILY,FOR_SALE,CENTURY 21 New Millennium,0,3/13/2022 7:34
12227142,"6847 Sperryville Pike, Boston, VA 22713",Sperryville Pike,Boston,VA,38.528534,-78.11745,22713,465000,465100,4,3,195,2382,5,SINGLE_FAMILY,FOR_SALE,CENTURY 21 New Millennium,0,3/13/2022 7:34
69718758,"12106 Grindstone Rd, Boston, VA 22713",Grindstone Rd,Boston,VA,38.537476,-78.15169,22713,689000,689000,5,5,133,5160,5.98,SINGLE_FAMILY,PENDING,CENTURY 21 New Millennium,0,3/13/2022 7:34
63526904,"6471 Sperryville Pike, Boston, VA 22713",Sperryville Pike,Boston,VA,38.53911,-78.12327,22713,140000,,,,,,10.32,LOT,FOR_SALE,CENTURY 21 New Millennium,0,3/13/2022 7:34
2071247513,"0 Boston Dr, Boston, VA 22713",Boston Dr,Boston,VA,,,22713,359900,,3,2,279,1288,3.73,SINGLE_FAMILY,FOR_SALE,CENTURY 21 New Millennium,0,3/13/2022 7:34
2078329343,"LOT 1 Boston Dr, Boston, VA 22713",LOT 1 Boston Dr,Boston,VA,,,22713,359900,,3,2,279,1288,3.73,SINGLE_FAMILY,FOR_SALE,CENTURY 21 New Millennium,0,3/13/2022 7:34
2079310733,"0 Obannons Mill Rd, Boston, VA 22713",Obannons Mill Rd,Boston,VA,,,22713,125900,,,,,,2.43,LOT,FOR_SALE,Piedmont Fine Properties,0,3/13/2022 7:34
2068712570,"4 Obannons Mill Rd, Boston, VA 22713",Obannons Mill Rd,Boston,VA,,,22713,125900,,,,,,2.63,LOT,FOR_SALE,Piedmont Fine Properties,0,3/13/2022 7:34
12215767,"6032 Sperryville Pike, Boston, VA 22713",Sperryville Pike,Boston,VA,38.546757,-78.1339,22713,199900,199900,2,1,173,1152,1.02,SINGLE_FAMILY,PENDING,RE/MAX Crossroads,0,3/13/2022 7:34
12225520,"14512 Stoney Run Dr, Boston, VA 22713",Stoney Run Dr,Boston,VA,38.4991,-78.12085,22713,409000,,3,3,181,2259,3.42,SINGLE_FAMILY,PENDING,United Real Estate Horizon,0,3/13/2022 7:34
2082466847,"0 Sperryville Pike, Boston, VA 22713",Sperryville Pike,Boston,VA,38.52426,-78.10246,22713,1740840,,0,0,,0,145.07,SINGLE_FAMILY,FOR_SALE,CENTURY 21 New Millennium,0,3/13/2022 7:34
2101141060,"Grindstone Rd, Boston, VA 22713",Grindstone Rd,Boston,VA,38.53716,-78.14983,22713,99000,,,,,,3.6,LOT,FOR_SALE,Cheri Woodard Realty,0,3/13/2022 7:34
223444738,"7551 Hazeland Ln, Boston, VA 22713",Hazeland Ln,Boston,VA,38.56597,-78.10876,22713,7000000,,5,4,1458,4800,764,SINGLE_FAMILY,FOR_SALE,CENTURY 21 New Millennium,0,3/13/2022 7:34
12226937,"Turkey Ridge Rd, Boston, VA 22713",Turkey Ridge Rd,Boston,VA,38.574303,-78.11956,22713,7000000,,5,4,1458,4800,764,SINGLE_FAMILY,FOR_SALE,CENTURY 21 New Millennium,0,3/13/2022 7:34
2068712785,"4-4A Obannons Mill Rd, Boston, VA 22713",4A Obannons Mill Rd,Boston,VA,,,22713,125900,,,,,,2.63,LOT,FOR_SALE,Piedmont Fine Properties,0,3/13/2022 7:34
52014063,"508 Round Hill Rd, Boston, VA 22713",Round Hill Rd,Boston,VA,38.55716,-78.15854,22713,299000,298800,3,2,185,1613,0.6,SINGLE_FAMILY,PENDING,"Washington Fine Properties, LLC",0,3/13/2022 7:34
307947060,"Unknown, Boston, VA 22713",Unknown,Boston,VA,38.560146,-78.16419,22713,100000,,,,,,2.94,LOT,FOR_SALE,Samson Properties,0,3/13/2022 7:34
2079523376,"LOT 6 Obannons Mill Rd, Boston, VA 22713",LOT 6 Obannons Mill Rd,Boston,VA,,,22713,125900,,,,,,2.43,LOT,FOR_SALE,Piedmont Fine Properties,0,3/13/2022 7:34
2078666517,"72 Obannons Mill Rd, Boston, VA 22713",Obannons Mill Rd,Boston,VA,,,22713,169900,,,,,,6.75,LOT,FOR_SALE,Piedmont Fine Properties,0,3/13/2022 7:34
2097503520,"1910 Donner St, Boston, PA 15135",Donner St,Boston,PA,40.31059,-79.82712,15135,239900,235200,4,4,,,6992,SINGLE_FAMILY,FOR_SALE,BERKSHIRE HATHAWAY THE PREFERRED REALTY,0,3/13/2022 7:34
30316469,"7480 Abbott Hill Rd, Boston, NY 14025",Abbott Hill Rd,Boston,NY,42.60271,-78.71178,14025,300000,,3,2,104,2872,1.3,SINGLE_FAMILY,PENDING,Listing by: CENTURY 21 Ganey,0,3/13/2022 7:34
30275135,"9690 Trevett Rd APT A, Boston, NY 14025",Trevett Rd APT A,Boston,NY,42.617176,-78.73111,14025,185000,204900,2,2,107,1726,1.5,SINGLE_FAMILY,FOR_SALE,Listing by: EXP Realty,0,3/13/2022 7:34
30274588,"8341 Boston State Rd, Boston, NY 14025",Boston State Rd,Boston,NY,42.657032,-78.74649,14025,129900,,5,2,46,2768,0.63,MULTI_FAMILY,FOR_SALE,Listing by: Hunt Real Estate ERA,0,3/13/2022 7:34
30275132,"9690 Trevett Rd APT D, Boston, NY 14025",Trevett Rd APT D,Boston,NY,42.617176,-78.73111,14025,202000,224000,3,2,119,1696,2.7,SINGLE_FAMILY,PENDING,Listing by: WNY Metro Roberts Realty,0,3/13/2022 7:34
2067190054,"0 Manchester Rd, Boston, NY 14025",Manchester Rd,Boston,NY,42.59815,-78.669464,14025,40000,,,0,,,2.6,LOT,FOR_SALE,Listing by: Howard Hanna,0,3/13/2022 7:34
133003720,"Hillcroft Dr, Boston, NY 14025",Hillcroft Dr,Boston,NY,42.643654,-78.75018,14025,95000,,,0,,,5.65,LOT,FOR_SALE,Listing by: WNY Metro Roberts Realty,0,3/13/2022 7:34
2068736008,"Boston Colden Rd, Boston, NY 14025",Boston Colden Rd,Boston,NY,42.639606,-78.69064,14025,80000,,,0,,,5.26,LOT,FOR_SALE,Listing by: Howard Hanna,0,3/13/2022 7:34
2113994161,"0 Cole Rd, Boston, NY 14025",Cole Rd,Boston,NY,42.6311,-78.73513,14025,73500,,,0,,,5.62,LOT,FOR_SALE,Listing by: PowerHouse Real Estate,0,3/13/2022 7:34
2106653891,"8326 Boston State Rd, Boston, NY 14025",Boston State Rd,Boston,NY,42.657684,-78.74763,14025,249900,250200,3,1,44,5634,0.6837,SINGLE_FAMILY,FOR_SALE,"Listing by: Emprise Realty Group, LLC",0,3/13/2022 7:34
59169678,"8 Gloucester St APT 12, Boston, MA 02115",Gloucester St APT 12,Boston,MA,42.35122,-71.085396,02115,1175000,1202100,2,2,1019,1153,1306.8,CONDO,FOR_SALE,Engel & Volkers Boston,0,3/13/2022 7:34
59178524,"501 Beacon St APT 1, Boston, MA 02215",Beacon St APT 1,Boston,MA,42.35049,-71.08993,02215,539000,475500,1,1,962,560,,CONDO,FOR_SALE,Keller Williams Realty Cambridge,0,3/13/2022 7:34
333606541,"131-133 Williams St UNIT 2, Boston, MA 02130",133 Williams St UNIT 2,Boston,MA,42.30402,-71.105156,02130,599000,647600,2,2,622,963,,CONDO,FOR_SALE,Keller Williams Realty Boston-Metro | Back Bay,0,3/13/2022 7:34
59101641,"31 Homestead St #1, Boston, MA 02121",Homestead St #1,Boston,MA,42.313007,-71.09319,02121,455000,461100,3,2,369,1232,1306.8,CONDO,FOR_SALE,Unlimited Sotheby's International Realty,0,3/13/2022 7:34
2096344991,"25 Bay State Rd STE 2, Boston, MA 02215",Bay State Rd STE 2,Boston,MA,42.35017,-71.093994,02215,1150000,,3,3,1023,1124,1306.8,CONDO,FOR_SALE,Coldwell Banker Realty - South End,0,3/13/2022 7:34
59210490,"172 Green St #14, Boston, MA 02130",Green St #14,Boston,MA,42.310177,-71.105804,02130,825000,,1,1,500,1650,1742.4,CONDO,FOR_SALE,McCormack & Scanlan Real Estate,0,3/13/2022 7:34
318225963,"188 Brookline Ave UNIT 19G, Boston, MA 02215",Brookline Ave UNIT 19G,Boston,MA,42.344147,-71.10151,02215,1179000,1179000,1,1,1926,612,,CONDO,FOR_SALE,Broad Street Boutique Realty LLC,0,3/13/2022 7:34
59171381,"386 Riverway APT 2, Boston, MA 02115",Riverway APT 2,Boston,MA,42.3332,-71.1117,02115,495000,590100,1,1,529,934,934,CONDO,FOR_SALE,"Longwood Residential, LLC",0,3/13/2022 7:34
189924486,"87-89 Nottinghill Rd, Boston, MA 02135",89 Nottinghill Rd,Boston,MA,42.342808,-71.14776,02135,999000,999000,4,4,403,2478,2613.6,MULTI_FAMILY,FOR_SALE,Donnelly + Co.,0,3/13/2022 7:34
333605777,"1 Dalton St APT 4903, Boston, MA 02115",Dalton St APT 4903,Boston,MA,42.34577,-71.084015,02115,3900000,3810900,2,3,2771,1407,,CONDO,FOR_SALE,"Carpenter and Company, Inc.",0,3/13/2022 7:34
2117794141,"318 Beacon St, Boston, MA 02116",Beacon St,Boston,MA,42.352924,-71.08294,02116,13750000,,8,10,1309,10500,3920.4,MULTI_FAMILY,FOR_SALE,Boston Realty Net,0,3/13/2022 7:34
59172926,"195 Saint Botolph St APT 1, Boston, MA 02115",Saint Botolph St APT 1,Boston,MA,42.342834,-71.08368,02115,749000,753700,1,1,796,940,,CONDO,FOR_SALE,Redfin Corp.,0,3/13/2022 7:34
118162434,"301 Chestnut Ave #1, Boston, MA 02130",Chestnut Ave #1,Boston,MA,42.312725,-71.11045,02130,799000,814700,2,2,700,1141,1306.8,CONDO,FOR_SALE,McCormack & Scanlan Real Estate,0,3/13/2022 7:34
59179665,"61 Park Dr APT 21, Boston, MA 02215",Park Dr APT 21,Boston,MA,42.342873,-71.09526,02215,675000,675700,2,1,670,1007,,CONDO,FOR_SALE,"Luxury Residential Group, LLC",0,3/13/2022 7:34
59169773,"263 Commonwealth Ave APT 1, Boston, MA 02116",Commonwealth Ave APT 1,Boston,MA,42.350777,-71.08401,02116,1025000,1024500,1,1,1135,903,,CONDO,FOR_SALE,Advisors Living - Back Bay,0,3/13/2022 7:34
59188486,"402 Marlborough St APT 1, Boston, MA 02115",Marlborough St APT 1,Boston,MA,42.350025,-71.088264,02115,1179000,1178600,1,2,1023,1152,1306.8,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2065798176,"465 Park Dr APT D, Boston, MA 02215",Park Dr APT D,Boston,MA,42.34627,-71.10448,02215,349000,,0,1,918,380,435.6,CONDO,FOR_SALE,Olde Forge Realty,0,3/13/2022 7:34
81854345,"65 Highland St #2, Boston, MA 02119",Highland St #2,Boston,MA,42.327553,-71.09284,02119,739000,739000,3,2,479,1540,1742.4,CONDO,FOR_SALE,Keller Williams Realty Boston-Metro | Back Bay,0,3/13/2022 7:34
2067519758,"100 Belvidere St APT 7D, Boston, MA 02199",Belvidere St APT 7D,Boston,MA,42.345963,-71.08391,02199,2599000,2542100,2,2,1740,1493,,CONDO,FOR_SALE,,0,3/13/2022 7:34
59178454,"405 Commonwealth Ave APT 10, Boston, MA 02215",Commonwealth Ave APT 10,Boston,MA,42.34949,-71.0908,02215,769000,770800,1,1,1103,697,,CONDO,FOR_SALE,Unique Realty Associates,0,3/13/2022 7:34
239893578,"778 Boylston St #7B, Boston, MA 02199",Boylston St #7B,Boston,MA,42.348667,-71.082184,02199,3050000,3016400,2,3,1918,1590,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
59168062,"30 Peterborough St APT 34, Boston, MA 02215",Peterborough St APT 34,Boston,MA,42.343773,-71.096085,02215,585000,586000,1,1,887,659,871.2,CONDO,FOR_SALE,Symphony Properties,0,3/13/2022 7:34
2066093531,"464-466 Commonwealth Ave #42, Boston, MA 02215",466 Commonwealth Ave #42,Boston,MA,42.348534,-71.093185,02215,649000,,1,1,1033,628,,CONDO,FOR_SALE,,0,3/13/2022 7:34
2080844776,"50 Hichborn St #101, Boston, MA 02135",Hichborn St #101,Boston,MA,,,02135,988000,996100,2,2,908,1088,,CONDO,FOR_SALE,"Charlesgate Realty Group, llc",0,3/13/2022 7:34
81858046,"12 Stoneholm St APT 315, Boston, MA 02115",Stoneholm St APT 315,Boston,MA,42.345802,-71.08887,02115,519000,518800,1,1,1474,352,435.6,CONDO,FOR_SALE,"Midtown Properties, Inc.",0,3/13/2022 7:34
81857998,"108 Peterborough St APT 6A, Boston, MA 02215",Peterborough St APT 6A,Boston,MA,42.342762,-71.099945,02215,649000,649700,1,1,1046,620,620,CONDO,FOR_SALE,"New Wave Boston Real Estate, LLC",0,3/13/2022 7:34
90138296,"76 Elm St APT 105, Boston, MA 02130",Elm St APT 105,Boston,MA,42.30891,-71.11098,02130,475000,484300,1,1,586,810,,CONDO,FOR_SALE,Hive Property Group,0,3/13/2022 7:34
2111518386,"25 Bay State Rd STE 1, Boston, MA 02215",Bay State Rd STE 1,Boston,MA,42.34998,-71.09409,02215,839900,,0,1,771,1089,1306.8,CONDO,FOR_SALE,Coldwell Banker Realty - Winchester,0,3/13/2022 7:34
63042439,"100 Belvidere St #7D, Boston, MA 02116",Belvidere St #7D,Boston,MA,42.345963,-71.08391,02116,2599000,2539500,2,2,1740,1493,,CONDO,FOR_SALE,Campion & Company Fine Homes Real Estate,0,3/13/2022 7:34
2066378963,"370 Beacon St #2, Boston, MA 02116",Beacon St #2,Boston,MA,42.35252,-71.08495,02116,4850000,,4,4,1675,2894,4791.6,CONDO,FOR_SALE,Coldwell Banker Realty - South End,0,3/13/2022 7:34
2113976184,"11 Faneuil St, Boston, MA 02135",Faneuil St,Boston,MA,42.355316,-71.15043,02135,7500000,,,,,,0.45,LOT,FOR_SALE,"Charlesgate Realty Group, llc",0,3/13/2022 7:34
59167150,"401 Beacon St APT 2, Boston, MA 02115",Beacon St APT 2,Boston,MA,42.351635,-71.08553,02115,5900000,,3,3,2041,2890,,CONDO,FOR_SALE,,0,3/13/2022 7:34
190005995,"820-824 Huntington Ave, Boston, MA 02115",824 Huntington Ave,Boston,MA,42.333084,-71.108894,02115,2999000,,10,6,632,4740,1500,MULTI_FAMILY,FOR_SALE,Advisors Living - Back Bay,0,3/13/2022 7:34
2129385252,"111 Perkins St APT 25, Boston, MA 02130",Perkins St APT 25,Boston,MA,42.32212,-71.11604,02130,379000,,2,1,354,1068,,CONDO,FOR_SALE,William Raveis R. E. & Home Services,0,3/13/2022 7:34
59169527,"359 Beacon St #4, Boston, MA 02116",Beacon St #4,Boston,MA,42.352093,-71.08382,02116,1499000,1469000,1,2,1550,967,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
59170259,"261 Marlborough St APT 2, Boston, MA 02116",Marlborough St APT 2,Boston,MA,42.352024,-71.0827,02116,535000,546400,1,1,1126,475,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
59091876,"7 Saybrook St #1, Boston, MA 02135",Saybrook St #1,Boston,MA,42.35478,-71.14945,02135,469000,431000,2,1,563,832,871.2,CONDO,FOR_SALE,Penrose Realty,0,3/13/2022 7:34
2085579554,"5 Braemore Rd APT 5, Boston, MA 02135",Braemore Rd APT 5,Boston,MA,42.338425,-71.15248,02135,339999,355900,1,1,883,385,435.6,CONDO,FOR_SALE,Penrose Realty,0,3/13/2022 7:34
61320120,"534 Beacon St APT 1002, Boston, MA 02215",Beacon St APT 1002,Boston,MA,42.35058,-71.09101,02215,610000,610000,1,1,1189,513,,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
190008835,"3381 Washington St, Boston, MA 02130",Washington St,Boston,MA,42.308838,-71.10546,02130,1395000,,6,4,440,3168,,MULTI_FAMILY,FOR_SALE,,0,3/13/2022 7:34
2103462020,"380 Beacon St #2, Boston, MA 02116",Beacon St #2,Boston,MA,42.352432,-71.085205,02116,4999900,,3,4,1346,3714,,CONDO,FOR_SALE,The Agency,0,3/13/2022 7:34
333605700,"1 Dalton St #3304, Boston, MA 02115",Dalton St #3304,Boston,MA,42.34576,-71.084015,02115,3295000,3226400,2,3,2417,1363,,CONDO,FOR_SALE,William Raveis R.E. & Home Services,0,3/13/2022 7:34
59168118,"125 Park Dr #B1, Boston, MA 02215",Park Dr #B1,Boston,MA,42.341854,-71.09789,02215,685000,685500,3,2,651,1051,,CONDO,FOR_SALE,Keller Williams Realty Boston-Metro | Back Bay,0,3/13/2022 7:34
246886735,"80-82 Fenwood Rd #811, Boston, MA 02115",82 Fenwood Rd #811,Boston,MA,42.335594,-71.10901,02115,649000,649400,1,1,1140,569,,CONDO,FOR_SALE,Keller Williams Realty,0,3/13/2022 7:34
2066663659,"95 Gainsborough St #U-308, Boston, MA 02115",Gainsborough St #U-308,Boston,MA,42.3426,-71.08876,02115,787787,,2,1,891,884,884,CONDO,FOR_SALE,Gibson Sotheby's International Realty,0,3/13/2022 7:34
103864867,"27 Ellington St #2, Boston, MA 02121",Ellington St #2,Boston,MA,42.30191,-71.084206,02121,450000,459300,3,2,269,1669,,CONDO,FOR_SALE,Berkshire Hathaway HomeServices Verani Realty Bradford,0,3/13/2022 7:34
59171358,"390 Riverway APT 6, Boston, MA 02115",Riverway APT 6,Boston,MA,42.33233,-71.11224,02115,589000,626200,2,2,692,850,,CONDO,FOR_SALE,William Raveis R.E. & Home Services,0,3/13/2022 7:34
2093348478,"56 Winship St #1, Boston, MA 02135",Winship St #1,Boston,MA,42.346397,-71.15183,02135,999900,1013700,2,2,936,1068,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
59169805,"13 Gloucester St APT 1, Boston, MA 02115",Gloucester St APT 1,Boston,MA,42.350883,-71.08474,02115,2350000,2302600,3,3,1472,1596,,CONDO,FOR_SALE,Campion & Company Fine Homes Real Estate,0,3/13/2022 7:34
2085159874,"117 Sutherland Rd #117, Boston, MA 02135",Sutherland Rd #117,Boston,MA,42.339798,-71.14825,02135,1249000,1249000,3,3,378,3300,2362,CONDO,FOR_SALE,Red Tree Real Estate,0,3/13/2022 7:34
333605731,"1 Dalton St #3901, Boston, MA 02115",Dalton St #3901,Boston,MA,42.34576,-71.084015,02115,12980000,13219800,3,4,4044,3209,,CONDO,FOR_SALE,"Blue Ocean Realty, LLC",0,3/13/2022 7:34
59169076,"387 Marlborough St APT 2, Boston, MA 02115",Marlborough St APT 2,Boston,MA,42.350628,-71.087875,02115,425000,404600,0,1,1393,305,,CONDO,FOR_SALE,,0,3/13/2022 7:34
2106471338,"377 Commonwealth Ave, Boston, MA 02115",Commonwealth Ave,Boston,MA,42.34947,-71.08951,02115,229000,,,,,,,LOT,FOR_SALE,The Charles Realty,0,3/13/2022 7:34
59212696,"36 Symphony Rd APT 4A, Boston, MA 02115",Symphony Rd APT 4A,Boston,MA,42.342808,-71.08851,02115,1049000,1036500,3,2,920,1140,1306.8,CONDO,FOR_SALE,Leading Edge Real Estate,0,3/13/2022 7:34
2091728434,"46 Sheridan St, Boston, MA 02130",Sheridan St,Boston,MA,42.32116,-71.107605,02130,1875000,,5,4,749,2502,,MULTI_FAMILY,FOR_SALE,,0,3/13/2022 7:34
59168936,"333 Commonwealth Ave APT 4, Boston, MA 02115",Commonwealth Ave APT 4,Boston,MA,42.34984,-71.0875,02115,1850000,1847800,2,2,1192,1552,,CONDO,FOR_SALE,,0,3/13/2022 7:34
318226832,"188 Brookline Ave PENTHOUSE 28B, Boston, MA 02215",Brookline Ave PENTHOUSE 28B,Boston,MA,42.344147,-71.10151,02215,3195000,3131600,2,3,1706,1872,,CONDO,FOR_SALE,MGS Group Real Estate LTD,0,3/13/2022 7:34
59177283,"65 Burbank St APT 14, Boston, MA 02115",Burbank St APT 14,Boston,MA,42.344654,-71.08886,02115,499000,496000,1,1,1087,459,459,CONDO,FOR_SALE,Linnane Real Estate,0,3/13/2022 7:34
2113615841,"111 Perkins St APT 32, Boston, MA 02130",Perkins St APT 32,Boston,MA,42.32213,-71.11605,02130,439000,,2,1,387,1134,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
59172993,"138 Saint Botolph St, Boston, MA 02115",Saint Botolph St,Boston,MA,42.343464,-71.08218,02115,5495000,5278400,5,5,1077,5098,2178,SINGLE_FAMILY,FOR_SALE,Sprogis & Neale Real Estate,0,3/13/2022 7:34
333605748,"1 Dalton St APT 4203, Boston, MA 02115",Dalton St APT 4203,Boston,MA,42.34577,-71.084015,02115,6875000,6576800,2,3,3088,2226,,CONDO,FOR_SALE,William Raveis R.E. & Home Services,0,3/13/2022 7:34
59167187,"287 Commonwealth Ave APT 4, Boston, MA 02115",Commonwealth Ave APT 4,Boston,MA,42.35083,-71.083496,02115,7500000,7040700,6,7,1425,5263,,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
59177003,"51 Hemenway St APT 1, Boston, MA 02115",Hemenway St APT 1,Boston,MA,42.345146,-71.08982,02115,750000,735700,2,1,870,862,862,CONDO,FOR_SALE,eXp Realty,0,3/13/2022 7:34
59167597,"390 Commonwealth Ave APT 304, Boston, MA 02215",Commonwealth Ave APT 304,Boston,MA,42.34858,-71.090256,02215,1100000,,2,1,1138,966,,CONDO,FOR_SALE,Coldwell Banker Realty - Wellesley,0,3/13/2022 7:34
2071969281,"778 Boylston W #8-G, Boston, MA 02116",Boylston W #8-G,Boston,MA,42.348667,-71.082184,02116,1499000,,1,2,1448,1035,,CONDO,FOR_SALE,"Luxury Residential Group, LLC",0,3/13/2022 7:34
2072029970,"778 Boylston St #W8-D, Boston, MA 02199",Boylston St #W8-D,Boston,MA,42.348667,-71.082184,02199,2695000,2625300,2,3,1828,1474,,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
59169052,"27 Hereford St, Boston, MA 02115",Hereford St,Boston,MA,42.35044,-71.08673,02115,4999999,4575300,5,4,1337,3737,1742.4,SINGLE_FAMILY,FOR_SALE,Centre Realty Group,0,3/13/2022 7:34
59169848,"352 Marlborough St, Boston, MA 02115",Marlborough St,Boston,MA,42.35065,-71.08596,02115,9750000,,4,7,2050,4754,1,SINGLE_FAMILY,FOR_SALE,MGS Group Real Estate LTD,0,3/13/2022 7:34
2066674445,"126 Marion St, Boston, MA 02128",Marion St,Boston,MA,42.37711,-71.03639,02128,1489000,,8,6,335,4440,2613.6,MULTI_FAMILY,FOR_SALE,Benjamin Realty,0,3/13/2022 7:34
2066619535,"Two Bedroom Plan, The Parker","Two Bedroom Plan, The Parker",Boston,MA,42.35176,-71.064125,02116,1380000,,2,2,1325,1041,,CONDO,FOR_SALE,,0,3/13/2022 7:34
246887007,"1 Franklin St #3103, Boston, MA 02110",Franklin St #3103,Boston,MA,42.356316,-71.059555,02110,3500000,3321600,3,3,2010,1741,,CONDO,FOR_SALE,Coldwell Banker Realty,0,3/13/2022 7:34
2134025605,"110 Stuart St #18C, Boston, MA 02116",Stuart St #18C,Boston,MA,42.350956,-71.06541,02116,1500000,2077600,2,2,1166,1286,,CONDO,FOR_SALE,Coldwell Banker Realty - Newton,0,3/13/2022 7:34
59182148,"97 Waltham St APT 5, Boston, MA 02118",Waltham St APT 5,Boston,MA,42.343746,-71.07098,02118,825000,852800,1,1,1227,672,,CONDO,FOR_SALE,Berkshire Hathaway HomeServices Warren Residential,0,3/13/2022 7:34
